"Key";"Type";"Desc";"English";"Українська [uk]";"Svenska [sv]";"Français [fr]";"Italiano [it]";"Deutsch [de]";"Español [es]";"Polski [pl]";"Português-Brasil";"中文 [zh-CN]";"日本語 [ja]";"한국어 [ko]";"Pусский [ru]"
"Story/CaravanIsland/Voiceline/DettosJournal6_2";"Text";;"Pa says we have to go. Ma is getting sicker, and I heard that strange man Olof shouting orders.";;"Pappa säger att vi måste åka. Mamma blir sjukare och jag hörde den där Olof ropa order.";"Papa dit qu'on doit s'en aller. La santé de maman empire et le monsieur bizarre, Olof, crie des ordres à tout le monde.";"Pa’ dice che dobbiamo andarcene. Le condizioni di ma’ stanno peggiorando e ho sentito quello strano uomo, Olof, impartire ordini.";"Vater sagt, wir müssen gehen. Mutter wird immer kränker, und ich hörte diesen seltsamen Olof Befehle brüllen.";"Pá dice que tenemos que marcharnos, Má está cada vez más enferma y he escuchado a ese tal Olof gritar órdenes.";"Tata mówi, że musimy iść. Mama jest coraz bardziej chora, a ja słyszałem, jak ten dziwny człowiek, Olof, wykrzykuje rozkazy.";"Papai diz que precisamos partir. Mamãe tá ficando mais doente, e eu ouvi aquele homem estranho, o Olof, gritando ordens.";"爸爸说我们得走了。妈妈的病越来越重，我还听见那个陌生人奥诺夫在大声下令。";"もう行かなきゃいけないってトーチャンが言ってる。カーチャンの具合はどんどん悪くなっているし、よそ者のオロフが叫びながら命令しているのを聞いた。";"아빠는 우리가 가야만 한다고 하셨다. 엄마의 병은 악화되어 가고, 나는 올로프가 소리 지르며 명령하는 것을 들었다.";"Папа говорит, нам пора отчаливать. Маме становится хуже. Я слышал, как этот чужак Улоф выкрикивал приказы."
"Story/CaravanIsland/Voiceline/DettosJournal6_3";"Text";;"I saw them rounding up all the hyenas in cages. Sanjay is helping separate the rafts from the rocks.";;"Jag såg dem fånga alla hyenor i burar. Sanjay hjälper till att lossa flottarna från klipporna.";"Ils attrapent des hyènes pour les mettre en cage. Sanjay est en train de détacher les radeaux de leurs amarres.";"Li ho visti mettere in gabbia tutte le iene. Sanjay sta aiutando a tenere lontane le zattere dalle rocce.";"Ich habe gesehen, wie sie alle Hyänen in Käfigen zusammengetrieben haben. Sanjay hilft, die Flöße von den Felsen zu trennen.";"Les he visto juntar a todas las hienas en jaulas. Sanjay está ayudando a desencallar las balsas de las rocas.";"Widziałem, jak zamykali wszystkie hieny w klatkach. Sanjay pomaga oddzielić tratwy od skał.";"Eu vi eles juntando todas as hienas nas jaulas. Sanjay está ajudando a tirar as jangadas das rochas.";"我看到他们把所有的鬣狗都赶进了笼子。桑杰在帮忙把木筏从岩石上分开。";"ぼくは奴らがハイエナを檻に勢ぞろいさせているのを見た。サンジェイは岩からいかだを切り離すのを手伝ってる。";"하이에나들을 우리에 몰아넣고 있었다. 산자이는 뗏목을 바위에서 분리시키는 작업을 돕고 있다.";"А еще видел, как они загоняли гиен в клетки. Санджей помогает отцепить плоты от скал."
"Story/CaravanIsland/Voiceline/DettosJournal6_4";"Text";;"I asked Doctor Henrik about Ma. He looked sick too. Told me to avoid the pigs. And Olof.";;"Jag frågade dr Henrik om mamma. Han såg också sjuk ut. Han sa åt mig att undvika grisarna. Och Olof.";"J'ai demandé au docteur Henrik si maman allait bien. Il a l'air malade, lui aussi. Il m'a dit de me méfier des cochons. Et d'Olof.";"Ho chiesto al Dottor Henrik di ma’. Sembrava malato anche lui. Mi ha detto di stare alla larga dai maiali. E da Olof.";"Ich habe Doktor Henrik nach Mutter gefragt. Er sah auch krank aus. Sagte mir, ich solle die Schweine meiden. Und Olof.";"Le he preguntado al doctor Henrik sobre Má, él también parecía estar malo. Me dijo que no me acercara ni a los cerdos ni a Olof.";"Zapytałem doktora Henrika o mamę. On też wyglądał na chorego. Powiedział, żebym trzymał się z daleka świń. I Olofa.";"Perguntei ao doutor Henrik sobre Mamãe. Ele parecia doente também, e disse pra eu ficar longe dos porcos… e do Olof.";"我问了亨德里克医生妈妈的病情，他看起来也病了。他让我避开那些猪，还有奥诺夫。";"ヘンリク先生にカーチャンのことを尋ねた。ヘンリク先生も具合が悪そうだった。豚は避けるようにと言われた。それとオロフも。";"나는 헨리크 박사에게 엄마에 대해 물어봤다. 박사도 아파 보였다. 나한테 돼지와 올로프를 조심하라고 말했다.";"Я спрашивал доктора Хенрика про маму. Он сам выглядит больным. Сказал мне держаться подальше от свиней. И Улофа."
"Story/CaravanIsland/Voiceline/DettosJournal6_5";"Text";;"Sanjay says he’s scared. Smart man, Sanjay.";;"Sanjay säger att han är rädd. Smart kille, den där Sanjay.";"Sanjay dit qu'il a peur. Je l'aime bien, Sanjay.";"Sanjay è spaventato. È proprio in gamba, Sanjay.";"Sanjay sagt, er hat Angst. Kluger Mann, Sanjay.";"Sanjay dice que tiene miedo. Muy listo este Sanjay.";"Sanjay mówi, że się boi. Mądry ten Sanjay.";"Sanjay disse que tá com medo. O Sanjay é um cara esperto.";"桑杰说他在害怕。聪明人桑杰。";"サンジェイは「怖い」って言ってる。かしこい男だサンジェイ。";"산자이는 겁이 난다고 했다. 똑똑한 산자이.";"Санджей говорит, он напуган. Санджей умный."
"Story/CaravanIsland/Voiceline/DoctorsNote_1";"Text";;"It’s been three days. ";;"Det har gått tre dagar. ";"Voilà trois jours que je suis là. ";"Sono passati tre giorni, ";"Es ist drei Tage her. ";"Ya llevo tres días ";"Minęły trzy dni. ";"Já se passaram três dias. ";" ";"この小屋に閉じこもってかれこれ3日だ。 ";"빌빌거리는 상태로 판잣집에 갇힌 지 사흘째다. ";"Я уже три дня безвылазно сижу у себя в лачуге. "
"Story/CaravanIsland/Voiceline/DoctorsNote_2";"Text";;"Stuck in this shack, sick as a dog. I don’t think I can treat anyone in my condition and these people know it.";;"Jag är fast här i skjulet, sjuk som en hund. Jag är inte i skick att behandla någon och det vet folk.";"Coincé dans cette cahute, malade comme un chien. Je ne peux être utile à personne dans ma condition et tout le monde le sait.";"bloccato in questa baracca. Mi sento uno schifo. Non credo di poter curare nessuno in queste condizioni e la gente lo sa.";"Gefangen in dieser Hütte, krank wie ein Hund. Ich glaube nicht, dass ich jemanden in meinem Zustand behandeln kann, und diese Leute wissen es.";"atrapado en esta balsa, enfermo... No creo que sea capaz de tratar a nadie en este estado, y la gente lo sabe.";"Utknąłem w tej ruderze. I paskudnie się czuję. Nie sądzę, żebym mógł w tym stanie kogokolwiek wyleczyć, a ci ludzie o tym wiedzą.";"Preso neste barraco, doente como um cão. Acho que não posso tratar ninguém assim, e as pessoas percebem disso.";"在这间破棚子里已经困了三天了，病的像条狗一样。我觉得我治不好我这样的病人，别人也都知道。";"犬のように弱ってしまった。私がこのような状態では誰の手当もすることができないというのは分かり切っている。みなもそれは承知しているだろう。";"상태가 이래서야 아무도 돌볼 수가 없고, 이 사람들도 그 사실을 안다.";"Чувствую себя отвратительно. Не думаю, что я способен работать с пациентами в таком состоянии, и люди это понимают."
"Story/CaravanIsland/Voiceline/DoctorsNote_3";"Text";;"I asked them to leave me here.";;"Jag har bett dem att lämna mig här.";"Je leur ai dit de me laisser ici.";"Ho chiesto di essere lasciato qui.";"Ich habe sie gebeten, mich hier zu lassen.";"Les pedí que me dejaran aquí.";"Poprosiłem, żeby mnie tu zostawili.";"Pedi que me deixassem aqui.";"我求他们把我留在这里。";"みなにはここへ置いて行ってくれと頼んだ。";"그래서 나를 여기에 내버려 두라고 부탁했다.";"Я попросил их оставить меня здесь."
"Story/CaravanIsland/Voiceline/DoctorsNote_4";"Text";;"It’s the pigs. For weeks they’ve acted erratic.";;"Det är grisarna. De har betett sig konstigt i flera veckor.";"Le problème vient des cochons. Cela fait des semaines qu'ils se comportent étrangement.";"È colpa dei maiali. Sono settimane che si comportano in modo strano.";"Es sind die Schweine. Wochenlang haben sie sich unberechenbar verhalten.";"Son los cerdos, llevan semanas actuando de forma errática.";"To przez świnie. Od tygodni zachowywały się dziwnie.";"São os porcos. Eles têm se comportado de um jeito estranho há semanas.";"是那些猪。它们已经有好几个星期行为怪诞了。";"豚に違いない。この数週間、豚たちは不規則な行動をとっていた。";"모든 게 돼지 때문이다. 몇 주간 이상한 행동을 보이고 있다.";"Это из-за свиней. Они уже несколько недель ведут себя странно."
"Story/CaravanIsland/Voiceline/DoctorsNote_5";"Text";;"I’ve been blind to it. I didn’t even notice the butchers getting sick. ";;"Jag såg det inte. Jag märkte inte ens att slaktarna blev sjuka. ";"J'ai refusé de le voir. Je n'ai même pas remarqué que les bouchers tombaient malades. ";"Non ci avevo badato. Non ho nemmeno notato che i macellai si sono ammalati. ";"Ich war blind dafür. Ich habe nicht einmal bemerkt, dass die Metzger krank wurden. ";"Pero no me di cuenta de eso ni de cómo enfermaban los carniceros. ";"Uszło to mojej uwadze. Nie zauważyłem nawet, że rzeźnicy chorowali. ";"Como eu não vi isso? Eu nem percebi os açougueiros ficando doentes. ";"但我对此视而不见，甚至没注意屠夫已经生病了。 ";"盲点だった。肉屋が病気になったのにも気付かなかった。 ";"도살자들이 병에 걸린 것도 몰랐다. ";"Я не обращал внимания. Даже не заметил, что мясник заболел. "
"Story/CaravanIsland/Voiceline/DoctorsNote_6";"Text";;" It all started when Olof Wilkstrom arrived and I do not see it as a coincidence.";;" Allt började när Olof Wilkström dök upp och det är nog ingen slump.";" Tout a commencé avec l'arrivée d'Olof Wilkstrom. Coïncidence ? Je ne pense pas.";" È iniziato tutto con l’arrivo di Olof Wilkstrom. La correlazione mi sembra inconfutabile.";" Alles begann mit der Ankunft von Olof Wilkstrom, und ich sehe es nicht als Zufall an.";" Todo empezó cuando Olof Wilkstrom llegó, y dudo mucho que sea una simple coincidencia.";" Wszystko zaczęło się po przybyciu Olofa Wilkstroma i nie uważam tego za zbieg okoliczności.";" Tudo começou quando Olof Wilkstrom chegou e, para mim, isso não é coincidência.";" 这一切都始于奥诺夫·威克斯特罗姆到来后，我不认为这是一个巧合。";" すべてはオロフ・ウィルクストームが来たときから始まったんだ。偶然なんかじゃない。";" 올로프 윌크스트롬이 도착한 이후로 이런 일이 벌어진 건 우연이 아닌 것 같다.";" Все началось с прибытия Улофа Вилкстрома, и я думаю, это не совпадение."
"Story/CaravanIsland/Voiceline/OlofsSpeech_1";"Text";;"SPEECH TO THE RAFTERS, 17th of may FITFH DRAFT";;"TAL TILL FLOTTÅKARNA, 17 maj – FEMTE UTKASTET";"DISCOURS AUX MARINS, 17 mai, BROUILLON N° 5";"DISCORSO AGLI ZATTERISTI, 17 maggio, QUINTA BOZZA";"ANSPRACHE AN DIE FLÖSSER, 17. Mai FÜNFTER ENTWURF";"DISCURSO A LOS BALSEROS DEL 17 DE MAYO, QUINTO BORRADOR";"PRZEMOWA DO TRATWIARZY, 17 maja, WERSJA PIĄTA";"DISCURSO AOS JANGADEIROS, 17 de maio, QUINTO RASCUNHO";"对漂流者的演讲，5月17日，第5稿";"ラフターたちへのスピーチ 5月17日 第5草案";"래프터들에게 하는 연설, 5월 17일 다섯 번째 초안";"ОБРАЩЕНИЕ К РАФТЕРАМ, 17 мая, ПЯТЫЙ ЧЕРНОВИК"
"Story/CaravanIsland/Voiceline/OlofsSpeech_2";"Text";;"Why do you - Why do you think I, Olof Wilkstrom, left that corrupt city?";;"Varför tror ni… Varför tror ni att jag, Olof Wilkström, lämnade den korrupta stan?";"Pourquoi pensez-vous... Pourquoi pensez-vous que j'ai quitté cette ville corrompue, moi, Olof Wilkstrom ?";"Perché credete... Perché credete che io, Olof Wilkstrom, abbia abbandonato quella città in malora?";"Warum denkt ihr - Warum glaubt ihr, habe ich, Olof Wilkstrom, diese korrupte Stadt verlassen?";"¿Por qué creéis...? ¿Por qué pensáis que yo, Olof Wilkstrom, dejé atrás aquella ciudad corrupta?";"Dlaczego… Jak myślicie, dlaczego ja, Olof Wilkstrom, opuściłem to skorumpowane miasto?";"Por que vocês… Por que vocês acham que eu, Olof Wilkstrom, saí daquela cidade corrupta?";"你们觉得——我，奥诺夫·威克斯特罗姆，为什么要离开那个腐败的城市？";"なぜ、私、オロフ・ウィルクストームが、あの退廃した都市を去ったとお考えだろうか？";"여러분은 왜 저 올로프 윌크스트롬이 그 부패한 도시를 떠났다고 생각하십니까?";"Почему вы… Как вы думаете, почему я, Улоф Вилкстром, покинул погрязший в пороках город?"
"Story/CaravanIsland/Voiceline/OlofsSpeech_3";"Text";;"Because they refused to let regular working class folk on board. I was appalled.";;"För att de vägrade släppa ombord arbetarklassen. Det äcklade mig.";"Parce qu'ils refusaient de laisser la classe ouvrière monter à bord. J'étais catastrophé.";"Perché si rifiutavano di far salire a bordo la gente comune, la classe operaia. Ero inorridito!";"Weil sie sich weigerten, normale Leute aus der Arbeiterklasse an Bord zu lassen. Ich war entsetzt.";"Pues porque, cuando no dejaron embarcar a los ciudadanos de a pie, me quedé atónito:";"Bo odmawiali wejścia na pokład uczciwym ludziom pracy. Byłem oburzony.";"Porque eles proibiram que pessoas da classe operária subissem a bordo. Eu fiquei horrorizado.";"因为他们拒绝让普通人上船。我对此感到震惊。";"なぜなら、彼らが、普通の労働者階級を船に乗せることを拒んだからだ。私は愕然とした。";"일반 노동자 계층이 승선하는 걸 거부했기 때문입니다. 정말 충격적이었습니다.";"Потому что там рабочий класс не пускали на борт. Я был возмущен."
"Story/CaravanIsland/Voiceline/OlofsSpeech_4";"Text";;"Why should the elite get to escape the apocalypse? They should be FORCED to share their luxury.";;"Varför ska eliten få fly undan apokalypsen? De borde TVINGAS dela med sig av sin lyx.";"Pourquoi l'élite serait-elle la seule à mériter de survivre ? Il faudrait les FORCER à partager leurs privilèges.";"Con quale coraggio l’élite si arroga il diritto di sopravvivere all’apocalisse? Dovrebbero essere COSTRETTI a condividere i loro privilegi.";"Warum sollte die Elite der Apokalypse entkommen? Sie sollten GEZWUNGEN werden, ihren Luxus zu teilen.";"¿por qué solo las élites pueden huir del apocalipsis? DEBERÍAN compartir sus lujos.";"Dlaczego elita miałaby uciec przed apokalipsą? Należy ją ZMUSIĆ do podzielenia się swoim luksusem.";"Por que a só elite deveria escapar do apocalipse? Eles deveriam ser FORÇADOS a compartilhar seu luxo.";"为什么只有精英阶层可以从世界末日逃离？应该有人迫使他们分享他们的奢侈品。";"なぜエリートだけがこの未曽有の事態から逃れることができるのだ？富の再分配を強制すべきだ。";"왜 상위 계층만 탈출할 수 있는 걸까요? 강제로 그들의 부와 명예를 나누어야 합니다.";"Получается, элита переживет апокалипсис, а остальные – нет? Мы должны СИЛОЙ заставить их делиться своим богатством."
